ID,Information,Measurement,Rate
1,Market Rank,#1,N/A
2,Market Cap,$406 230 762 776.99 USD,<a style='color: red'><i class='fa fa-caret-down'></i> 0.33%</a> &nbsp;
3,Filly Diluted Market Cap,$446 723 901 962.41 USD,<a style='color: red'><i class='fa fa-caret-down'></i> 0.33%</a> &nbsp;
4,Trading Volume,$24 892 730 458.20 USD,<a style='color: red'><i class='fa fa-caret-down'></i> 2.84%</a> &nbsp;
5,Circulating Supply,19 095 912.00 BTC,<a style='color: gray'>= 91.00%</a> &nbsp;
6,Price Change,-$116.37 USD,<a style='color: red'><i class='fa fa-caret-down'></i> 0.54%</a> &nbsp;
